"","Total Number of reads for each species across all samples"
"Bordetella sp. H567",708
"Bordetella sp. N",696
"Bordetella trematum",1194
"Castellaniella defragrans",2613
"Kerstersia gyiorum",538
"Oligella ureolytica",219
"Oligella urethralis",206
"Orrella dioscoreae",780
"Orrella marina",532
"Paenalcaligenes hominis",192
"Paralcaligenes sp. KSB-10",468
"Pelistega ratti",138
"Pigmentiphaga aceris",698
"Pigmentiphaga sp. H8",878
"Pusillimonas (ex Stolz et al. 2005) Pusillimonas sp. DMV24BSW_D",152
"Pusillimonas (ex Stolz et al. 2005) Pusillimonas sp. T7-7",533
"Pusillimonas (ex Stolz et al. 2005) Pusillimonas thiosulfatoxidans",397
"Taylorella asinigenitalis",87
"Taylorella equigenitalis",72
"Burkholderia aenigmatica",563
"Burkholderia ambifaria",1199
"Burkholderia anthina",1576
"Burkholderia cenocepacia",8330
"Burkholderia cepacia",2933
"Burkholderia contaminans",1854
"Burkholderia diffusa",260
"Burkholderia dolosa",708
"Burkholderia gladioli",2233
"Burkholderia glumae",1017
"Burkholderia lata",1427
"Burkholderia latens",168
"Burkholderia mayonis",723
"Burkholderia metallica",374
"Burkholderia multivorans",1972
"Burkholderia oklahomensis",570
"Burkholderia plantarii",1074
"Burkholderia pseudomallei",3919
"Burkholderia pseudomultivorans",257
"Burkholderia pyrrocinia",846
"Burkholderia savannae",171
"Burkholderia seminalis",458
"Burkholderia sp. B21-007",140
"Burkholderia sp. Bp7605",713
"Burkholderia sp. DHOD12",732
"Burkholderia sp. IDO3",165
"Burkholderia sp. JP2-270",282
"Burkholderia sp. KBS0801",138
"Burkholderia sp. LA-2-3-30-S1-D2",164
"Burkholderia sp. M701",12
"Burkholderia sp. MBR-1",59
"Burkholderia sp. MS389",177
"Burkholderia sp. MS455",326
"Burkholderia sp. MSMB0856",362
"Burkholderia sp. MSMB1588",57
"Burkholderia sp. MSMB617WGS",53
"Burkholderia sp. NRF60-BP8",218
"Burkholderia sp. PAMC 26561",494
"Burkholderia sp. PAMC 28687",234
"Burkholderia stabilis",1222
"Burkholderia stagnalis",556
"Burkholderia territorii",535
"Burkholderia thailandensis",1465
"Burkholderia ubonensis",3007
"Burkholderia vietnamiensis",1938
"Caballeronia insecticola",886
"Caballeronia sp. M1242",806
"Caballeronia sp. SBC1",86
"Caballeronia sp. SBC2",262
"Candidatus Vallotia cooleyia",16
"Candidatus Vallotia lariciata",14
"Candidatus Vallotia sp. (ex Adelges kitamiensis)",58
"Candidatus Vallotia tarda",76
"Chitinimonas arctica",634
"Cupriavidus basilensis",4490
"Cupriavidus campinensis",1911
"Cupriavidus gilardii",777
"Cupriavidus malaysiensis",147
"Cupriavidus metallidurans",4068
"Cupriavidus nantongensis",1999
"Cupriavidus necator",2721
"Cupriavidus neocaledonicus",526
"Cupriavidus oxalaticus",2400
"Cupriavidus pauculus",10145
"Cupriavidus pinatubonensis",767
"Cupriavidus sp. EM10",1277
"Cupriavidus sp. ISTL7",44
"Cupriavidus sp. KK10",327
"Cupriavidus sp. MP-37",439
"Cupriavidus sp. USMAA2-4",348
"Cupriavidus sp. USMAHM13",127
"Cupriavidus taiwanensis",12010
"Ephemeroptericola cinctiostellae",196
"Lautropia mirabilis",692
"Limnobacter sp. SAORIC-580",272
"Mycetohabitans rhizoxinica",438
"Mycoavidus cysteinexigens",109
"Mycoavidus sp. B2-EB",137
"Mycoavidus sp. HKI",140
"Pandoraea apista",1414
"Pandoraea faecigallinarum",746
"Pandoraea fibrosis",500
"Pandoraea norimbergensis",527
"Pandoraea oxalativorans",503
"Pandoraea pnomenusa",2113
"Pandoraea pulmonicola",614
"Pandoraea sp. XY-2",1271
"Pandoraea sputorum",448
"Pandoraea thiooxydans",650
"Pandoraea vervacti",650
"Paraburkholderia acidiphila",754
"Paraburkholderia acidisoli",808
"Paraburkholderia aromaticivorans",2290
"Paraburkholderia atlantica",583
"Paraburkholderia caffeinilytica",535
"Paraburkholderia caledonica",552
"Paraburkholderia caribensis",1615
"Paraburkholderia dioscoreae",454
"Paraburkholderia dokdonella",481
"Paraburkholderia edwinii",780
"Paraburkholderia fungorum",869
"Paraburkholderia ginsengisoli",584
"Paraburkholderia graminis",657
"Paraburkholderia hospita",895
"Paraburkholderia megapolitana",747
"Paraburkholderia pallida",1013
"Paraburkholderia phenoliruptrix",913
"Paraburkholderia phymatum",1117
"Paraburkholderia phytofirmans",1765
"Paraburkholderia sp. PGU16",560
"Paraburkholderia sp. PGU19",496
"Paraburkholderia sp. SOS3",642
"Paraburkholderia sprentiae",669
"Paraburkholderia terrae",915
"Paraburkholderia terricola",511
"Paraburkholderia tropica",1058
"Paraburkholderia xenovorans",1846
"Polynucleobacter acidiphobus",96
"Polynucleobacter asymbioticus",476
"Polynucleobacter difficilis",180
"Polynucleobacter duraquae",66
"Polynucleobacter necessarius",805
"Polynucleobacter paneuropaeus",266
"Polynucleobacter sp. Adler-ghost",74
"Polynucleobacter sp. AP-Ainpum-60-G11",101
"Polynucleobacter sp. AP-Elch-400A-B2",185
"Polynucleobacter sp. AP-Jannik-300A-C4",32
"Polynucleobacter sp. AP-Melu-1000-A1",14
"Polynucleobacter sp. AP-Nino-20-G2",179
"Polynucleobacter sp. AP-Sving-400A-A2",11
"Polynucleobacter sp. AP-Titi-500A-B4",114
"Polynucleobacter sp. es-EL-1",52
"Polynucleobacter sp. es-MAR-2",119
"Polynucleobacter sp. JS-JIR-II-50",45
"Polynucleobacter sp. JS-JIR-II-b4",66
"Polynucleobacter sp. JS-Mosq-20-D10",11
"Polynucleobacter sp. LimPoW16",129
"Polynucleobacter sp. MG-5-Ahmo-C2",42
"Polynucleobacter sp. MG-9-Vaara-E2",61
"Polynucleobacter sp. MWH-Aus1W21",71
"Polynucleobacter sp. MWH-Braz-FAM2G",24
"Polynucleobacter sp. MWH-CaK5",52
"Polynucleobacter sp. MWH-P3-07-1",70
"Polynucleobacter sp. MWH-S4W17",109
"Polynucleobacter sp. MWH-Spelu-300-X4",185
"Polynucleobacter sp. MWH-Svant-W18",90
"Polynucleobacter sp. MWH-UH21B",203
"Polynucleobacter sp. MWH-UH24A",24
"Polynucleobacter sp. MWH-UH25E",63
"Polynucleobacter sp. MWH-UH2A",101
"Polynucleobacter sp. MWH-UH35A",45
"Polynucleobacter sp. TSB-Sco08W16",39
"Polynucleobacter sp. UB-Siik-W21",34
"Polynucleobacter sp. VK25",30
"Polynucleobacter wuianus",53
"Ralstonia insidiosa",2305
"Ralstonia mannitolilytica",1211
"Ralstonia pickettii",716
"Ralstonia solanacearum",5196
"Ralstonia sp. 56D2",430
"Ralstonia syzygii",117
"Acidovorax antarcticus",2348
"Acidovorax avenae",2724
"Acidovorax carolinensis",2114
"Acidovorax cattleyae",301
"Acidovorax citrulli",618
"Acidovorax monticola",850
"Acidovorax radicis",640
"Acidovorax sp. 1608163",965
"Acidovorax sp. HDW3",1356
"Acidovorax sp. JMULE5",1366
"Acidovorax sp. KKS102",2094
"Acidovorax sp. RAC01",1415
"Acidovorax sp. T1",26493
"Acidovorax sp. YS12",2262
"Alicycliphilus denitrificans",5042
"Candidatus Symbiobacter mobilis",578
"Comamonas aquatica",39807
"Comamonas kerstersii",4817
"Comamonas koreensis",1817
"Comamonas odontotermitis",1542
"Comamonas piscis",1526
"Comamonas serinivorans",1138
"Comamonas sp. B21-038",2484
"Comamonas sp. CJ34",3813
"Comamonas sp. NLF-1-9",798
"Comamonas sp. NLF-7-7",726
"Comamonas sp. Y33R10-2",1821
"Comamonas testosteroni",17810
"Comamonas thiooxydans",10855
"Curvibacter sp. AEP1-3",534
"Delftia acidovorans",3445
"Delftia lacustris",695
"Delftia sp. Cs1-4",180
"Delftia sp. HK171",143
"Delftia tsuruhatensis",5772
"Diaphorobacter aerolatus",3023
"Diaphorobacter ruginosibacter",927
"Diaphorobacter sp. HDW4A",3305
"Diaphorobacter sp. HDW4B",1304
"Diaphorobacter sp. JS3050",1642
"Diaphorobacter sp. JS3051",980
"Diaphorobacter sp. MNS-0",1791
"Hydrogenophaga crassostreae",505
"Hydrogenophaga pseudoflava",4610
"Hydrogenophaga sp. BA0156",1866
"Hydrogenophaga sp. BPS33",3813
"Hydrogenophaga sp. NH-16",8336
"Hydrogenophaga sp. PAMC20947",686
"Hydrogenophaga sp. PBC",2644
"Hydrogenophaga sp. PBL-H3",9641
"Hydrogenophaga sp. RAC07",1694
"Hydrogenophaga sp. SL48",1029
"Hydrogenophaga sp. YM1",876
"Hydrogenophaga taeniospiralis",795
"Hylemonella gracilis",611
"Kinneretia sp. DAIF2",1338
"Kinneretia sp. XES5",1869
"Limnohabitans sp. 103DPR2",374
"Limnohabitans sp. 63ED37-2",344
"Melaminivora jejuensis",1022
"Melaminivora sp. SC2-9",1459
"Ottowia oryzae",726
"Ottowia sp. 27C",825
"Ottowia sp. oral taxon 894",700
"Polaromonas naphthalenivorans",615
"Polaromonas sp. JS666",1262
"Polaromonas sp. W11N",10
"Polaromonas vacuolata",320
"Pulveribacter suum",547
"Ramlibacter tataouinensis",1798
"Rhodoferax antarcticus",537
"Rhodoferax ferrireducens",613
"Rhodoferax koreense",3862
"Rhodoferax saidenbachensis",591
"Rhodoferax sediminis",1093
"Rhodoferax sp. AJA081-3",718
"Rhodoferax sp. BAB1",688
"Rhodoferax sp. MIZ03",798
"Rhodoferax sp. PAMC 29310",486
"Schlegelella brevitalea",888
"Schlegelella thermodepolymerans",1019
"Serpentinimonas maccroryi",394
"Serpentinimonas raichei",395
"Simplicispira suum",1383
"Variovorax boronicumulans",666
"Variovorax paradoxus",7974
"Variovorax sp. 38R",951
"Variovorax sp. HW608",1501
"Variovorax sp. PAMC 28711",889
"Variovorax sp. PAMC26660",1001
"Variovorax sp. PAMC28562",767
"Variovorax sp. PBL-E5",1730
"Variovorax sp. PBL-H6",3188
"Variovorax sp. PBS-H4",2109
"Variovorax sp. RA8",2005
"Variovorax sp. RKNM96",851
"Variovorax sp. SRS16",1390
"Variovorax sp. WDL1",2968
"Verminephrobacter eiseniae",830
"Aquabacterium olei",902
"Collimonas arenae",1016
"Collimonas fungivorans",828
"Collimonas pratensis",1376
"Duganella sp. AF9R3",929
"Duganella sp. GN2-R2",1188
"Glaciimonas sp. PAMC28666",390
"Herbaspirillum frisingense",907
"Herbaspirillum hiltneri",604
"Herbaspirillum huttiense",660
"Herbaspirillum robiniae",927
"Herbaspirillum rubrisubalbicans",988
"Herbaspirillum seropedicae",1012
"Herbaspirillum sp. meg3",572
"Herminiimonas arsenitoxidans",306
"Janthinobacterium agaricidamnosum",1180
"Janthinobacterium lividum",482
"Janthinobacterium sp. 1_2014MBL_MicDiv",1007
"Janthinobacterium sp. 17J80-10",632
"Janthinobacterium sp. B9-8",553
"Janthinobacterium sp. HH102",670
"Janthinobacterium sp. LM6",510
"Janthinobacterium sp. Marseille",726
"Janthinobacterium sp. PAMC25594",466
"Janthinobacterium svalbardensis",359
"Janthinobacterium tructae",335
"Massilia albidiflava",1007
"Massilia armeniaca",726
"Massilia flava",1252
"Massilia lutea",893
"Massilia oculi",880
"Massilia plicata",865
"Massilia putida",1660
"Massilia sp. CCM 8941",809
"Massilia sp. DM-R-R2A-13",829
"Massilia sp. HC52",1726
"Massilia sp. LPB0304",685
"Massilia sp. MB5",491
"Massilia sp. NP310",792
"Massilia sp. NR 4-1",967
"Massilia sp. PAMC28688",768
"Massilia sp. Se16.2.3",101
"Massilia sp. WG5",1282
"Massilia sp. YMA4",640
"Massilia umbonata",1057
"Massilia violaceinigra",702
"Methylibium petroleiphilum",775
"Methylibium sp. Pch-M",529
"Noviherbaspirillum sp. UKPF54",697
"Oxalobacter formigenes",591
"Sphaerotilus natans",756
"Thiomonas arsenitoxydans",403
"Undibacterium parvum",402
"Undibacterium sp. KW1",378
"Undibacterium sp. YM2",367
"Ideonella dechloratans",1370
"Inhella inkyongensis",639
"Leptothrix cholodnii",1037
"Mitsuaria sp. 7",1206
"Paucibacter sp. KCTC 42545",842
"Rhizobacter gummiphilus",1242
"Rhizobacter sp. AJA081-3",901
"Roseateles depolymerans",773
"Rubrivivax gelatinosus",1181
"Sutterella faecalis",13022
"Sutterella megalosphaeroides",5243
"Sutterella wadsworthensis",3131
"Tepidimonas taiwanensis",447
"Thiomonas intermedia",561
"Thiomonas sp. X19",1652
"Turicimonas muris",604
"Xylophilus rhododendri",1040
"Aquaspirillum sp. LM1",530
"Aquitalea aquatilis",441
"Aquitalea denitrificans",480
"Aquitalea magnusonii",500
"Aquitalea sp. USM4",530
"Chitinibacter bivalviorum",759
"Chitinibacter fontanus",309
"Chromobacterium haemolyticum",771
"Chromobacterium paludis",468
"Chromobacterium phragmitis",780
"Chromobacterium rhizoryzae",1118
"Chromobacterium sp. ATCC 53434",587
"Chromobacterium sp. Beijing",295
"Chromobacterium sp. Rain0013",299
"Chromobacterium vaccinii",920
"Chromobacterium violaceum",890
"Deefgea sp. D13",150
"Deefgea sp. D17",124
"Deefgea sp. D25",306
"Iodobacter ciconiae",469
"Iodobacter fluviatilis",203
"Jeongeupia sp. HS-3",571
"Jeongeupia sp. USM3",648
"Laribacter hongkongensis",1247
"Microvirgula aerodenitrificans",640
"Paludibacterium paludis",626
"Paludibacterium sp. B53371",447
"Paludibacterium yongneupense",624
"Pseudogulbenkiania sp. NH8B",605
"Vogesella sp. LIG4",588
"Vogesella sp. XCS3",565
"Alysiella filiformis",229
"Aquella oligotrophica",154
"Chitinolyticbacter meiyuanensis",604
"Conchiformibius steedae",434
"Crenobacter cavernae",600
"Eikenella corrodens",741
"Eikenella exigua",228
"Kingella denitrificans",575
"Kingella kingae",349
"Kingella oralis",457
"Neisseria animalis",347
"Neisseria animaloris",571
"Neisseria bacilliformis",604
"Neisseria brasiliensis",328
"Neisseria canis",421
"Neisseria chenwenguii",570
"Neisseria cinerea",148
"Neisseria dentiae",572
"Neisseria elongata",490
"Neisseria flavescens",81
"Neisseria gonorrhoeae",349
"Neisseria lactamica",600
"Neisseria meningitidis",1999
"Neisseria mucosa",1732
"Neisseria musculi",376
"Neisseria shayeganii",331
"Neisseria sicca",448
"Neisseria sp. KEM232",337
"Neisseria sp. ZJ785",231
"Neisseria subflava",84
"Neisseria wadsworthii",477
"Neisseria weaveri",417
"Neisseria weixii",219
"Neisseria zalophi",346
"Neisseria zoodegmatis",398
"Paralysiella testudinis",780
"Simonsiella muelleri",120
"Snodgrassella alvi",164
"Vitreoscilla filiformis",511
"Vitreoscilla sp. C1",2626
"Casimicrobium huifangae",1528
"Candidatus Nitrotoga arctica",114
"Candidatus Nitrotoga sp. AM1P",508
"Ferrigenium kumadai",410
"Ferriphaselus amnicola",438
"Gallionella capsiferriformans",379
"Sideroxydans lithotrophicus",417
"Sideroxydans sp. MIZ01",471
"Candidatus Methylopumilus planktonicus",191
"Candidatus Methylopumilus rimovensis",58
"Candidatus Methylopumilus turicensis",30
"Candidatus Methylopumilus universalis",274
"Methylobacillus flagellatus",424
"Methylophilus medardicus",258
"Methylophilus sp. TWE2",160
"Methyloradius palustris",202
"Methylotenera mobilis",126
"Methylotenera versatilis",168
"Methylovorus glucosotrophus",310
"Methylovorus sp. MP688",107
"Nitrosomonas communis",224
"Nitrosomonas europaea",199
"Nitrosomonas eutropha",430
"Nitrosomonas stercoris",269
"Nitrosomonas ureae",571
"Nitrosospira briensis",255
"Nitrosospira lacus",258
"Nitrosospira multiformis",410
"Nitrosospira sp. NRS527",89
"Denitratisoma oestradiolicum",547
"Denitratisoma sp. DHT3",2392
"Methyloversatilis sp. RAC08",502
"Sterolibacterium denitrificans",546
"Sulfuritalea hydrogenivorans",602
"Sulfuricella denitrificans",499
"Sulfuriferula nivalis",274
"Sulfuriferula plumbiphila",429
"Sulfuriferula sp. AH1",489
"Sulfurimicrobium lacus",605
"Candidatus Profftella armatura (Diaphorina cf. continua)",60
"Sulfuritortus calidifontis",606
"Thiobacillus denitrificans",532
"Usitatibacter palustris",665
"Usitatibacter rugosus",949
"Dechloromonas denitrificans",1569
"Dechloromonas sp. HYN0024",406
"Dechloromonas sp. TW-R-39-2",369
"Ferribacterium limneticum",1738
"Quatrionicoccus australiensis",840
"Candidatus Kinetoplastibacterium desouzaii",58
"Candidatus Kinetoplastibacterium galatii",50
"Candidatus Kinetoplastibacterium sorsogonicusi",36
"Candidatus Profftella armatura",42
"Fluviibacter phosphoraccumulans",647
"Aromatoleum aromaticum",578
"Aromatoleum bremense",774
"Aromatoleum petrolei",928
"Aromatoleum pumilum",822
"Azospira inquinata",520
"Azospira oryzae",512
"Azospira restricta",1033
"Azospira sp. I09",1450
"Niveibacterium microcysteis",722
"Oryzomicrobium terrae",496
"Rugosibacter aromaticivorans",252
"Azoarcus communis",2701
"Azoarcus olearius",861
"Azoarcus sp. DD4",1287
"Azoarcus sp. KH32C",774
"Nitrogeniibacter aestuarii",652
"Nitrogeniibacter mangrovi",628
"Thauera aromatica",3239
"Thauera chlorobenzoica",596
"Thauera humireducens",1027
"Thauera hydrothermalis",409
"Thauera sp. K11",1228
"Thauera sp. MZ1T",2806
"Bradymonas sediminis",576
"Persicimonas caeni",1080
"Candidatus Desulfofervidus auxilii",134
"Desulfarculus baarsii",1325
"Desulfatibacillum aliphaticivorans",1678
"Desulfobacter hydrogenophilus",718
"Desulfobacter postgatei",513
"Desulfobacula toluolica",836
"Desulfococcus multivorans",845
"Desulfoluna sp. ASN36",1140
"Desulfonema limicola",726
"Desulfonema magnum",1212
"Desulforapulum autotrophicum",552
"Desulfosarcina alkanivorans",1292
"Desulfosarcina ovata",1484
"Desulfosarcina widdelii",1626
"Desulfobulbus oligotrophicus",735
"Desulfobulbus oralis",1230
"Desulfobulbus propionicus",810
"Desulfomarina profundi",560
"Desulfurivibrio alkaliphilus",758
"Desulfocapsa sulfexigens",631
"Desulfosediminicola flagellatus",654
"Desulfosediminicola ganghwensis",806
"Desulfotalea psychrophila",404
"Desulfosudis oleivorans",588
"Desulfohalobium retbaense",540
"Desulfomicrobium baculatum",730
"Desulfomicrobium orale",726
"Desulfocurvibacter africanus",820
"Desulfolutivibrio sulfoxidireducens",674
"Desulfovibrio Candidatus Desulfovibrio trichonymphae",600
"Desulfovibrio desulfuricans",4034
"Desulfovibrio fairfieldensis",1534
"Desulfovibrio ferrophilus",814
"Desulfovibrio piger",2604
"Desulfovibrio sp. 86",1545
"Desulfovibrio sp. G11",1438
"Desulfovibrio sp. IOR2",1132
"Desulfovibrio sulfodismutans",678
"Desulfovibrio vulgaris",1184
"Lawsonia intracellularis",14
"Maridesulfovibrio hydrothermalis",442
"Maridesulfovibrio salexigens",886
"Megalodesulfovibrio gigas",861
"Oceanidesulfovibrio marinus",1422
"Oleidesulfovibrio alaskensis",2681
"Paradesulfovibrio bizertensis",608
"Pseudodesulfovibrio aespoeensis",2686
"Pseudodesulfovibrio cashew",838
"Pseudodesulfovibrio indicus",832
"Pseudodesulfovibrio mercurii",998
"Pseudodesulfovibrio piezophilus",466
"Pseudodesulfovibrio profundus",758
"Pseudodesulfovibrio sp. SF6",648
"Pseudodesulfovibrio sp. zrk46",909
"Solidesulfovibrio carbinolicus",925
"Solidesulfovibrio carbinoliphilus",984
"Solidesulfovibrio magneticus",988
"Hippea maritima",232
"Desulfuromonas soudanensis",830
"Desulfuromonas sp. AOP6",810
"Desulfuromonas sp. DDH964",944
"Desulfuromonas versatilis",1108
"Pelobacter propionicus",2573
"Citrifermentans bemidjiense",988
"Citrifermentans bremense",772
"Geoalkalibacter subterraneus",1315
"Geobacter benzoatilyticus",696
"Geobacter metallireducens",774
"Geobacter pickeringii",654
"Geobacter sp. DSM 9736",618
"Geobacter sp. FeAm09",1060
"Geobacter sp. SVR",863
"Geobacter sulfurreducens",1049
"Geomonas nitrogeniifigens",1178
"Geomonas oryzisoli",743
"Geomonas sp. RF6",912
"Geomonas subterranea",863
"Geotalea daltonii",902
"Geotalea uraniireducens",961
"Trichlorobacter lovleyi",994
"Syntrophotalea acetylenica",769
"Syntrophotalea acetylenivorans",608
"Syntrophotalea carbinolica",692
"Anaeromyxobacter dehalogenans",1909
"Anaeromyxobacter sp. Fw109-5",1360
"Anaeromyxobacter sp. K",1311
"Archangium gephyra",1366
"Archangium violaceum",2479
"Cystobacter fuscus",1321
"Melittangium boletus",1246
"Stigmatella aurantiaca",882
"Haliangium ochraceum",1550
"Labilithrix luteola",1734
"Corallococcus coralloides",2549
"Corallococcus macrosporus",1299
"Corallococcus sp. EGB",1546
"Myxococcus hansupus",1128
"Myxococcus sp. SCHIC003",804
"Myxococcus stipitatus",916
"Myxococcus xanthus",2332
"Pyxidicoccus sp. SCPEA002",1694
"Chondromyces crocatus",1270
"Pajaroellobacter abortibovis",100
"Sorangium cellulosum",9256
"Sandaracinus amylolyticus",2968
"Vulgatibacter incomptus",690
"Desulfobacca acetoxidans",394
"Desulfomonile tiedjei",546
"Syntrophus aciditrophicus",566
"Desulfoglaeba alkanexedens",538
"Dissulfurimicrobium hydrothermale",312
"Syntrophobacter fumaroxidans",785
"Aliarcobacter [Arcobacter] porcinus",129
"Aliarcobacter butzleri",511
